source_page,source_table,item name,count,amount,month
1,1,beef tossed ramen,468.0,"$6,921.26",may
1,1,beef ramen,339.0,"$5,045.65",may
1,1,lunch special,269.0,"$3,783.26",may
1,1,pork tossed ramen,260.0,"$3,526.47",may
1,1,chicken rice noodle soup,233.0,"$3,303.84",may
1,1,chicken ramen,222.0,"$3,313.00",may
1,1,mai special fried chicken(8),309.0,"$3,089.87",may
1,1,beef tossed rice noodle,195.0,"$3,102.44",may
1,1,chicken tossed ramen,200.0,"$2,906.30",may
1,1,beef rice noodle soup,147.0,"$2,316.04",may
1,1,pork ramen,131.0,"$1,845.21",may
1,1,chicken tossed rice noodles,118.0,"$1,726.89",may
1,1,house ramen,91.0,"$1,474.52",may
1,1,mai's golden flake fried chicken(8),138.0,"$1,378.05",may
1,1,fried pork dumplings(10),119.0,"$1,063.71",may
1,1,pork tossed rice noodle,72.0,$992.70,may
2,1,golden coconut crunch chicken(8),96.0,$982.35,may
2,1,pork rice noodle soup,72.0,$986.46,may
2,1,chicken fried rice,80.0,"$1,000.10",may
2,1,mai og fried chicken wings(4),193.0,$960.71,may
2,1,brown sugar milk tea w. boba (24oz),196.0,$888.71,may
2,1,steam pork dumplings(10),94.0,$819.22,may
2,1,crispy spring roll(3),185.0,$726.44,may
2,1,house rice noodle soup,42.0,$684.02,may
2,1,house fried rice,46.0,$692.23,may
2,1,tempura shrimp(3),138.0,$674.01,may
2,1,crispy pork egg roll(3),162.0,$651.24,may
2,1,onion glory fried chicken(8),59.0,$589.13,may
2,1,strawberry sunrise tea,152.0,$555.16,may
2,1,sichuan chili wontons,50.0,$546.94,may
2,1,vegetable ramen,33.0,$440.00,may
2,1,vegetable rice noodle soup,30.0,$408.55,may
2,1,citrus honey fried chicken  (8),43.0,$434.87,may
2,1,beef fried rice,28.0,$377.50,may
2,1,shrimp fried rice,29.0,$389.91,may
2,1,mai buffalo chicken wings(8),35.0,$346.69,may
2,1,golden kiwi,87.0,$316.02,may
2,1,dr. pepper,118.0,$344.71,may
3,1,cream cheese wonton（6）,60.0,$352.83,may
3,1,specialty drink,115.0,$338.50,may
3,1,diet pepsi,97.0,$284.98,may
3,1,spicy cucumber salad,46.0,$249.14,may
3,1,pepsi,83.0,$238.52,may
3,1,cream cheese rangoon(6),47.0,$263.68,may
3,1,pork fried rice,17.0,$213.55,may
3,1,sweet ice tea,79.0,$228.04,may
3,1,unsweet ice tea,69.0,$197.17,may
3,1,crispy french fries,47.0,$184.56,may
3,1,bf chicken cutlet combo,20.0,$242.53,may
3,1,wasabi spiced fried chicken (8),16.0,$158.84,may
3,1,tangy honey mustard fried chicken (8),19.0,$186.57,may
3,1,vegetable fried rice,14.0,$177.00,may
3,1,milk tea(20oz),31.0,$153.81,may
3,1,vegetable tossed ramen,11.0,$153.95,may
3,1,wasabi spiced fried chicken(8),12.0,$138.88,may
3,1,tangy honey mustard fried chicken(8),11.0,$129.49,may
3,1,chili pepper fried chicken（8）,13.0,$129.11,may
3,1,starry - sprite,45.0,$132.29,may
3,1,braised chicken thigh,36.0,$106.77,may
3,1,vegetable tossed rice noodle,9.0,$114.96,may
4,1,brown sugar rice cake,22.0,$117.14,may
4,1,lemonade,35.0,$100.73,may
4,1,jumbo chicken tender (3),19.0,$90.93,may
4,1,house tossed rice noodle,4.0,$63.16,may
4,1,chili pepper fried chicken (8),6.0,$62.94,may
4,1,brown sugar milk tea no boba (24oz),17.0,$66.20,may
4,1,white rice - dine in,52.0,$52.44,may
4,1,bottled soda,21.0,$42.19,may
4,1,hot tea,13.0,$38.39,may
4,1,crispy french fries(lg),8.0,$33.92,may
4,1,bf chicken cutlet,10.0,$65.93,may
4,1,plain fried rice,15.0,$45.49,may
4,1,orange crush,10.0,$29.74,may
4,1,rice noodle,17.0,$25.80,may
4,1,white rice-to go,6.0,$21.00,may
4,1,sweet sesame ball,5.0,$25.02,may
4,1,white rice,5.0,$20.16,may
4,1,house tossed ramen,2.0,$31.44,may
4,1,ramune - original,4.0,$13.76,may
4,1,chunked beef,4.0,$15.96,may
4,1,braised chicken,5.0,$16.90,may
4,1,soup to go,7.0,$10.47,may
5,1,ramen,6.0,$9.00,may
5,1,mai‘s special sauce,11.0,$10.72,may
5,1,北冰洋 orange soda,2.0,$7.18,may
5,1,pepsi zero,2.0,$7.18,may
5,1,sweet tea,2.0,$7.18,may
5,1,braised pork,3.0,$9.22,may
5,1,shrimp,2.0,$5.98,may
5,1,bottled water,3.0,$5.97,may
5,1,open food,2.0,$4.52,may
5,1,braised egg,2.0,$4.30,may
5,1,mai‘s special sauce,4.0,$4.26,may
5,1,ramune - orange,1.0,$3.59,may
5,1,starry,1.0,$3.59,may
5,1,ramune - melon,1.0,$2.99,may
5,1,ramune - strawberry,2.0,$6.28,may
5,1,sweet sesame ball (6) w. red bean,1.0,$4.50,may
5,1,golden kiwi,5.0,$18.38,may
