Month_Label,Date,Ingredient,Forecasted_Usage_Original_Unit,Constraint_Unit,Forecast_LBS_or_Count,Monthly_Supply_Constraint,Shortfall_Surplus,Action_Required
May,2025-05-01,Boychoy(g),70100.95225842521,lbs,154.54627122706137,541.25,386.70372877293863,Historical Data
Jun,2025-06-01,Boychoy(g),72087.11717111351,lbs,158.92501889608616,541.25,382.32498110391384,Historical Data
Jul,2025-07-01,Boychoy(g),74062.77625463379,lbs,163.28060515757286,541.25,377.96939484242716,Historical Data
Aug,2025-08-01,Boychoy(g),76161.19131386759,lbs,167.90682224084108,541.25,373.34317775915895,Historical Data
Sep,2025-09-01,Boychoy(g),78319.06060365119,lbs,172.66411357266264,541.25,368.58588642733736,Historical Data
Oct,2025-10-01,Boychoy(g),80465.51583151752,lbs,177.3962411848479,541.25,363.8537588151521,Historical Data
Oct,2025-10-31,Boychoy(g),82670.79799129191,lbs,182.25806008768214,541.25,358.9919399123179,✅ Sufficient Supply
Nov,2025-11-30,Boychoy(g),84936.51932620814,lbs,187.25312467196986,541.25,353.9968753280301,✅ Sufficient Supply
Dec,2025-12-31,Boychoy(g),87343.01932277203,lbs,192.55855333156677,541.25,348.69144666843323,✅ Sufficient Supply
May,2025-05-01,Braised Chicken(g),112122.95335267624,lbs,247.1890010244366,346.4,99.21099897556337,Historical Data
Jun,2025-06-01,Braised Chicken(g),107147.28505425126,lbs,236.21952118699463,346.4,110.18047881300535,Historical Data
Jul,2025-07-01,Braised Chicken(g),102542.45917181192,lbs,226.06760959587453,346.4,120.33239040412545,Historical Data
Aug,2025-08-01,Braised Chicken(g),97993.09420025798,lbs,216.03796848325806,346.4,130.36203151674192,Historical Data
Sep,2025-09-01,Braised Chicken(g),93645.56480136084,lbs,206.45329900298253,346.4,139.94670099701744,Historical Data
Oct,2025-10-01,Braised Chicken(g),89622.0153771606,lbs,197.5828836865743,346.4,148.8171163134257,Historical Data
Oct,2025-10-31,Braised Chicken(g),85771.34066414708,lbs,189.09359218008052,346.4,157.30640781991946,✅ Sufficient Supply
Nov,2025-11-30,Braised Chicken(g),82086.11297531694,lbs,180.96904922334818,346.4,165.4309507766518,✅ Sufficient Supply
Dec,2025-12-31,Braised Chicken(g),78444.30747551208,lbs,172.9402358849188,346.4,173.45976411508119,✅ Sufficient Supply
May,2025-05-01,Braised Pork(g),87083.21638117121,,87083.21638117121,,,Historical Data
Jun,2025-06-01,Braised Pork(g),96576.727959931,,96576.727959931,,,Historical Data
Jul,2025-07-01,Braised Pork(g),106748.28337116865,,106748.28337116865,,,Historical Data
Aug,2025-08-01,Braised Pork(g),118385.61271129537,,118385.61271129537,,,Historical Data
Sep,2025-09-01,Braised Pork(g),131291.6035440428,,131291.6035440428,,,Historical Data
Oct,2025-10-01,Braised Pork(g),145119.36365861024,,145119.36365861024,,,Historical Data
Oct,2025-10-31,Braised Pork(g),160403.4769947444,,160403.4769947444,,,Historical Data
Nov,2025-11-30,Braised Pork(g),177297.32809834377,,177297.32809834377,,,Historical Data
Dec,2025-12-31,Braised Pork(g),196625.67078038928,,196625.67078038928,,,Historical Data
May,2025-05-01,Carrot(g),6917.303826975083,lbs,15.250056938779968,519.6,504.3499430612201,Historical Data
Jun,2025-06-01,Carrot(g),7028.2121235620225,lbs,15.49456807783652,519.6,504.1054319221635,Historical Data
Jul,2025-07-01,Carrot(g),7137.235561023143,lbs,15.734923810435687,519.6,503.8650761895643,Historical Data
Aug,2025-08-01,Carrot(g),7251.670114737081,lbs,15.987209022066265,519.6,503.61279097793374,Historical Data
Sep,2025-09-01,Carrot(g),7367.939454778183,lbs,16.24353924843953,519.6,503.3564607515605,Historical Data
Oct,2025-10-01,Carrot(g),7482.232832372803,lbs,16.495513219749917,519.6,503.1044867802501,Historical Data
Oct,2025-10-31,Carrot(g),7598.299158325938,lbs,16.751395876307207,519.6,502.84860412369284,✅ Sufficient Supply
Nov,2025-11-30,Carrot(g),7716.165935069895,lbs,17.011247850645283,519.6,502.5887521493547,✅ Sufficient Supply
Dec,2025-12-31,Carrot(g),7839.882748813942,lbs,17.28399695941274,519.6,502.3160030405873,✅ Sufficient Supply
May,2025-05-01,Chicken Wings (pcs),2577.245195166408,,2577.245195166408,,,Historical Data
Jun,2025-06-01,Chicken Wings (pcs),2503.355446356072,,2503.355446356072,,,Historical Data
Jul,2025-07-01,Chicken Wings (pcs),2433.866890134404,,2433.866890134404,,,Historical Data
Aug,2025-08-01,Chicken Wings (pcs),2364.087807277558,,2364.087807277558,,,Historical Data
Sep,2025-09-01,Chicken Wings (pcs),2296.30930600068,,2296.30930600068,,,Historical Data
Oct,2025-10-01,Chicken Wings (pcs),2232.567979868604,,2232.567979868604,,,Historical Data
Oct,2025-10-31,Chicken Wings (pcs),2170.5959958048893,,2170.5959958048893,,,Historical Data
Nov,2025-11-30,Chicken Wings (pcs),2110.3442401254492,,2110.3442401254492,,,Historical Data
Dec,2025-12-31,Chicken Wings (pcs),2049.8405780644716,,2049.8405780644716,,,Historical Data
May,2025-05-01,Cilantro,49475.32368242322,lbs,49475.32368242322,43.3,-49432.02368242322,Historical Data
Jun,2025-06-01,Cilantro,50340.92802068386,lbs,50340.92802068386,43.3,-50297.62802068386,Historical Data
Jul,2025-07-01,Cilantro,51193.02622424669,lbs,51193.02622424669,43.3,-51149.72622424669,Historical Data
Aug,2025-08-01,Cilantro,52088.6835688253,lbs,52088.6835688253,43.3,-52045.383568825295,Historical Data
Sep,2025-09-01,Cilantro,53000.01114739331,lbs,53000.01114739331,43.3,-52956.711147393304,Historical Data
Oct,2025-10-01,Cilantro,53897.119322823186,lbs,53897.119322823186,43.3,-53853.81932282318,Historical Data
Oct,2025-10-31,Cilantro,54809.41245880298,lbs,54809.41245880298,43.3,-54766.11245880298,⚠️ SHORTFALL: Order More
Nov,2025-11-30,Cilantro,55737.14758456661,lbs,55737.14758456661,43.3,-55693.8475845666,⚠️ SHORTFALL: Order More
